#n_{sat}	#E_{sat}	#K_{sat}	#J_{sym}	#L_{sym}	#m^*/m
0.161457	-16.118778	294.925079	33.399738	60.951504	0.689879
0.151376	-15.978669	248.331985	31.816732	51.535248	0.712377
0.165880	-15.818142	288.178070	32.723701	51.178432	0.739443
0.140565	-16.041574	227.988358	31.784058	54.379791	0.748898
0.158024	-15.995821	251.785538	33.525784	63.624004	0.650535
0.155250	-16.017197	232.375641	33.660873	66.485420	0.707222
0.153157	-15.882523	264.761261	30.881756	44.984779	0.714009
0.161129	-16.135565	226.527725	32.809696	61.684025	0.630194
0.156562	-16.199060	239.335693	33.359108	65.526024	0.690529
0.158680	-16.017719	257.436279	29.961987	45.658737	0.712049
0.156984	-15.983481	248.816010	31.802685	55.308880	0.687020
0.152538	-16.158293	206.686249	28.666664	42.889736	0.624710
0.154105	-16.178970	248.617081	32.858269	48.423862	0.708721
0.149647	-15.942514	278.892517	28.455481	42.480618	0.698884
0.162107	-15.824902	237.300186	30.983112	43.897739	0.721178
0.157956	-15.991314	281.403625	29.685606	46.080421	0.746084
0.149704	-15.825278	240.648361	30.927383	47.028854	0.734303
0.148704	-15.966650	222.724579	32.492966	58.154984	0.666284
0.161568	-16.010509	259.835388	33.559471	62.987331	0.729850
0.145202	-16.125526	254.411697	31.271736	50.957802	0.703114
0.151204	-16.120457	251.600296	32.372799	51.980057	0.748457
0.144798	-16.018808	261.183441	29.501001	44.702194	0.686874
0.161083	-16.178822	280.100555	31.045135	51.572620	0.628318
0.145102	-15.949265	286.279358	32.409691	68.710487	0.734505
0.142060	-16.077364	284.041321	32.213531	61.643345	0.725982
0.146093	-16.128122	294.185059	32.785355	63.498077	0.742650
0.154385	-16.021688	263.831696	32.515301	50.587032	0.653798
0.149760	-16.028311	291.021851	32.715809	53.594482	0.746131
0.161375	-16.096004	285.619446	31.662092	46.689674	0.728812
0.152711	-15.893000	266.813293	31.630562	46.963470	0.713288
0.142547	-16.005678	216.537994	32.196941	56.019218	0.673086
0.146580	-15.861891	208.833328	31.785885	55.077290	0.691490
0.153640	-16.103836	272.725983	33.359165	69.007332	0.748268
0.160931	-15.849114	267.188202	33.423691	50.223667	0.717467
0.169264	-15.818623	280.360840	32.423569	49.203934	0.671276
